x_meters,y_meters
-9.999658787497253343e+00,3.704715685511477830e+01
-1.048346208865878282e+01,3.692178980356243301e+01
-1.094753017106742732e+01,3.673871841287969175e+01
-1.137090999724317442e+01,3.647358382492969042e+01
-1.176798682571984500e+01,3.617027983059853113e+01
-1.214056610468061592e+01,3.583727857120861415e+01
-1.252126526479922575e+01,3.551360578082594088e+01
-1.290243981316100985e+01,3.519047947520799369e+01
-1.328560707408666985e+01,3.486972774572141986e+01
-1.366910538613727510e+01,3.454936852078664344e+01
-1.405257986007798365e+01,3.422898188978842882e+01
-1.443802753248196780e+01,3.391093878798938022e+01
-1.482471147966751346e+01,3.359465888108968556e+01
-1.522432706344631015e+01,3.329477662134357274e+01
-1.560723576272771140e+01,3.297352129648528773e+01
-1.599313588496535488e+01,3.265603661618088438e+01
-1.638308759159178862e+01,3.234376080541323972e+01
-1.678218135926660182e+01,3.204318710070209875e+01
-1.716708524479278708e+01,3.172435222427814949e+01
-1.755267458503544731e+01,3.140647822132001465e+01
-1.794509359645161339e+01,3.109734611586122810e+01
-1.834484642379375430e+01,3.079761577121796279e+01
-1.872825566431745870e+01,3.047693826345660284e+01
-1.912330715886687926e+01,3.017119933911598650e+01
-1.952143884647298933e+01,2.986933018382464411e+01
-1.991294187761592127e+01,2.955881261740546506e+01
-2.030974144143553417e+01,2.925502198541798293e+01
-2.069927957401215224e+01,2.894209121166241516e+01
-2.108381195032170297e+01,2.862297433136242830e+01
-2.145960612025923808e+01,2.829362301288075798e+01
-2.181365493916317178e+01,2.794104178997925203e+01
-2.213948226127364194e+01,2.756269986189789734e+01
-2.241224457815349069e+01,2.714384370813090186e+01
-2.263578427017448291e+01,2.669739408151262694e+01
-2.281371041076499750e+01,2.622990548941150735e+01
-2.292956080075509817e+01,2.574561525960788799e+01
-2.301135461655428571e+01,2.525272773858395681e+01
-2.302364806593026003e+01,2.475313945223921053e+01
-2.302903303839234184e+01,2.425289298910502112e+01
-2.297609682921236640e+01,2.375825268372796018e+01
-2.287647622553247118e+01,2.326807231274680987e+01
-2.273054691382925796e+01,2.279025260484519322e+01
-2.253503008616792158e+01,2.233072678278527690e+01
-2.232804449970359428e+01,2.187534372675962402e+01
-2.205069581587540029e+01,2.146006012676116370e+01
-2.175610116839193608e+01,2.105672588348245711e+01
-2.141163345437718135e+01,2.069482821204677236e+01
-2.105006070576024513e+01,2.034898496244416322e+01
-2.064356170002848501e+01,2.005831144370817753e+01
-2.020457342992891370e+01,1.982315931917599983e+01
-1.974435581630781655e+01,1.962862151847210157e+01
-1.926172210414978281e+01,1.949683916237732717e+01
-1.876930462303857894e+01,1.941766920468091939e+01
-1.826944815832348468e+01,1.942042505850351120e+01
-1.776985563763177822e+01,1.942180481085473787e+01
-1.727271619842014161e+01,1.947215226783949049e+01
-1.677813196019015152e+01,1.954432890430898340e+01
-1.629267234348805005e+01,1.966154549306757815e+01
-1.581667071322743823e+01,1.981315534480673080e+01
-1.535804934398097998e+01,2.001170509222721705e+01
-1.491139713347961049e+01,2.023560977155108276e+01
-1.447776802947566921e+01,2.048395253547833761e+01
-1.406406751494070306e+01,2.076419688483566972e+01
-1.365197107321787939e+01,2.104691965881552562e+01
-1.325373267855422910e+01,2.134865389891665188e+01
-1.285705095590716951e+01,2.165214978191957584e+01
-1.245597513193918360e+01,2.195040436730079136e+01
-1.205255162020669957e+01,2.224424585283466627e+01
-1.162727443655312243e+01,2.250790742943016198e+01
-1.118631231871172815e+01,2.274203394409629198e+01
-1.070208350760761107e+01,2.287715780475856775e+01
-1.019923323821396366e+01,2.290777544891309958e+01
-9.702760413579710530e+00,2.284573507482876664e+01
-9.217650500436235461e+00,2.272450658082490804e+01
-8.735515505573559381e+00,2.259350169206582848e+01
-8.251211519502106739e+00,2.247027606418565426e+01
-7.767620495614366405e+00,2.234446023615009835e+01
-7.282265231157211360e+00,2.222554191268778823e+01
-6.793170044796227103e+00,2.212315377156048157e+01
-6.306877673627781178e+00,2.200819297162487942e+01
-5.823066718731041647e+00,2.188317939073311891e+01
-5.339038855514615989e+00,2.175907399015098065e+01
-4.853531629597100050e+00,2.164079742386215344e+01
-4.368419031800968355e+00,2.152100016384355285e+01
-3.881341089896594099e+00,2.140933007105688546e+01
-3.395270586544370417e+00,2.129342864397602852e+01
-2.909887765575064122e+00,2.117480518262875933e+01
-2.423539374442341909e+00,2.105945278563835643e+01
-1.934043312853972907e+00,2.096106656554847802e+01
-1.444300021445911852e+00,2.085637894996662567e+01
-9.916744609737406790e-01,2.063983562892929058e+01
-6.228887018191642255e-01,2.026725261960305602e+01
-3.705295194006623660e-01,1.979486969370071847e+01
-2.665733419132578774e-01,1.928312678279860393e+01
-3.321498841043819539e-01,1.878624582676427224e+01
-5.159500741614380104e-01,1.831692247490705938e+01
-7.552875197782213945e-01,1.787565880463260726e+01
-1.060956848493958660e+00,1.748219635054455523e+01
-1.437721404341132825e+00,1.715154037007800980e+01
-1.857114859291442599e+00,1.687958407094821212e+01
-2.290349661480135524e+00,1.662996750210290031e+01
-2.742852533984262209e+00,1.641841020556437059e+01
-3.191471668639437098e+00,1.619903177668460614e+01
-3.643826440841394287e+00,1.598741556104624806e+01
-4.098339830009336993e+00,1.577962427063339135e+01
-4.556004704116602966e+00,1.557863582751905085e+01
-5.001366457600383342e+00,1.535241014347184318e+01
-5.456025928779425271e+00,1.514490586121605986e+01
-5.908434324948359517e+00,1.493279151051467579e+01
-6.356276470587260974e+00,1.471123475109455114e+01
-6.807635611594022862e+00,1.449694255994943148e+01
-7.254886727806479030e+00,1.427403080745432362e+01
-7.699668411525124156e+00,1.404624427794733776e+01
-8.151570152121166757e+00,1.383317419159727990e+01
-8.600118368595133234e+00,1.361374677410333334e+01
-9.047796931270127629e+00,1.339208913878242413e+01
-9.503098320100264118e+00,1.318584381129282690e+01
-9.945359399158121505e+00,1.295332773709435514e+01
-1.039560974559822171e+01,1.273658002020461311e+01
-1.083988710708058534e+01,1.250780951367590887e+01
-1.128892916240202737e+01,1.228861736695327522e+01
-1.174117288306359796e+01,1.207627130110421376e+01
-1.218586799508054241e+01,1.184829478882959108e+01
-1.263934111350931744e+01,1.163818640328614151e+01
-1.308617433540662489e+01,1.141483427583685284e+01
-1.353462459529296780e+01,1.119468689129165284e+01
-1.397965810196571113e+01,1.096771339549421498e+01
-1.443210199433335106e+01,1.075596543341957556e+01
-1.488025481091069935e+01,1.053534585992079542e+01
-1.532739928115711336e+01,1.031227571899744078e+01
-1.578068941668868774e+01,1.010195528725185454e+01
-1.622663460917462430e+01,9.876489853934586449e+00
-1.667335484985240157e+01,9.652591200451709597e+00
-1.712080705646472722e+01,9.430126854974901107e+00
-1.756742463031308432e+01,9.206482702637003968e+00
-1.802178453537122493e+01,8.999146119130173815e+00
-1.846481325128361561e+01,8.767932470211817986e+00
-1.892046707535932626e+01,8.562353786328046112e+00
-1.936646515958202031e+01,8.337438826991188989e+00
-1.981355565422830978e+01,8.114359030434386000e+00
-2.026053050392603438e+01,7.891004713724740327e+00
-2.070601856820812259e+01,7.664553134625919029e+00
-2.116051883712640347e+01,7.456829238999276299e+00
-2.160483938010706595e+01,7.228258049060244161e+00
-2.205561794030235490e+01,7.012637382092151483e+00
-2.249785488938091760e+01,6.780057686212487056e+00
-2.295216575525574854e+01,6.571704158884472236e+00
-2.340159537339576445e+01,6.353654933097587332e+00
-2.384616699242262428e+01,6.125653186743249989e+00
-2.429478069825292152e+01,5.905611845446117059e+00
-2.474003917915275963e+01,5.678803396344804355e+00
-2.518845085380857540e+01,5.458240475699639660e+00
-2.563260528390378568e+01,5.229343600038944828e+00
